,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,RbtkNQdW76Z8_pjFKK_8KQ,1dazh8LDjN8qKzpWrFBtGA,UU1VB0-TdLLQzR0_DGLQ1g,1.0,0,0,0,"A vendor brought Qdoba to a meeting in our conference room. I have a meeting in there later this afternoon and thought I'd call to find out when they were picking up their catering supplies. The guy said I'll call you back tomorrow and I told him I have a meeting this afternoon and just wanted to know when they were coming back for their items. He said ""hold on"" and that was 22 minutes ago. I still waiting on my headset, but although I can hear him talking to people in the background he won't get back on the phone with me.

I am someone who frequently utilizes caterers for large functions at work. This lack of respect for a potential customer has lost them quite a bit of business since people were saying they liked their food and we should use them. I'll let everyone know that will not be the case. And I'll let other coordinators here know my experience so they don't make the mistake of using them either.",2016-11-09 21:25:50
1,Xp8-8hp1m98ZuWTk9mi9vA,9yfVwM0DHdp3nBLHJdm0aw,tCZoMAPrsdHcNHUhRkeQUg,4.0,0,0,0,"Clean and modernized since the renovation! The ideal rest stop on the turnpike- it offers multiple restaurants, food court style, for whoever is on your car. Currently, 
it boasts a KFC, Natures Table, Wendy's, and a Dunkin Donuts. Restrooms are clean. The convenience store inside has cold drinks, snack and souvenirs. It is extremely child-friendly, with clean high chairs and a kiddie eating area, with small table and chair sets and hands on games. With FHP HQ here, it is extremely safe and well-lit, even at night. This is our stop every time we hit the road to Grandma's house!",2015-03-18 18:19:19
2,_2M3NOb1FfQNTH-Iru9Uxw,yoifdNRQFb_ZIRPMh3Uzgw,p3dR8xcFxGgjMI3u4bQSpg,4.0,0,0,0,"The food is good and it was rated A on the state inspection app whatthehealth. 
I wanted to leave a tip but they don't accept them. They say they want you to come back and their excellent service backs the statement.",2016-08-25 08:28:41
3,O4o_h8Q6CowD-MUttg5kiw,Za38s1h9WmDU33-7yj2yYQ,tJn6TiHqJyVntY9d0MBpJQ,1.0,1,0,0,"the pretzel tasted maybe a bit stale. the cheese sauce was cold. (is that even legal?)

no go.",2011-09-25 18:25:22
4,UMoiWIl1stiadAlyHptoVg,MxpEK_FqpThaUu7b0D76Pw,8XLNTHnXfnPsCz3s6K1HCQ,5.0,0,0,0,"Always greeted with a smile and pleasant, prompt service.
They're open to some substitutions which is nice. The food is great and the containers, utensils, cups, etc are all at the very least commercially compostable. I'm a big fan of the coconut pork paired with ginger maté tea with a cookie to boot. All the omnomnom noms for this place. The price is a little bit up there but it's not a deterrent for me. If you frequent this place,definitely sign up for the loyalty program.",2018-10-04 15:42:51
5,A7qKPDp60AraxYYsi7xK0Q,NUDGiHKEs6PeUSb1rARb_g,v-OEtDOpGWvleZ3U0VoqBw,1.0,4,1,0,"Had a truly terrible experience at your establishment (413 Main Street Reading MA) last night (October 22 2015 at 5PM).  Crew was incredibly unprofessional.  Yelling, screaming and swearing at one another (especially the large woman in the purple shirt who I assume is the manager)  It was intimidating and horrible as the woman even yelled out the ""F-word"" right in front of us and I had two children with me that are ages 3 and 6.  In addition, the crew was super rude right tin front of the customers.  Chatting about inappropriate things among themselves, talking on the phone, eating in the front end register area, etc... All the while the restaurant and restrooms are filthy dirty and customers are literally being ignored.  This is not the first bad experience I had here.  Last time, it was the same scenario with the total lack of professionalism AND a young employee had gone outside to smoke a cigarette right in front of ht front door of the restaurant resting alongside the fence to the kid's playground where my children were playing!  I know it's McDonald's and not meant to be fine-dining in a 5 start restaurant or anything like that... but this level of disgusting behavior can not be tolerated.  Whomever owns this franchise needs to get it under control. Fire the entire crew and start over!",2015-10-23 12:51:25
6,HcWgshBTWgJdSNX64LcQGQ,YyhQkEgTrbbJ4mwAhxUibQ,Hhc8Ix8sygBjqFbiO1c1TQ,4.0,0,0,0,"I love Chipotle, hands down my favorite place to go for a burrito bowl. The food is great, quality, quantity is all good. 

The only reason I won't give it 5 stars is because a couple of the employees give you unfriendly looks when you ask for a certain thing this way or that way but most are great!

Taste wise it's the best Chipotle I've been to so far!",2012-07-16 01:40:44
7,QFgSG81cvhiikH4u5b51cA,faCEKu6tgfbKTy_3YPJSSg,8XLNTHnXfnPsCz3s6K1HCQ,4.0,0,0,0,There's some good curry here.  Just remember to order extra meat because they're extra chintzy when it comes to that.,2014-02-23 22:24:22
8,soXG_ocSNfrg1I9xcClA9Q,LRTnV-pNNpfwH5LLvEatqg,gZh5eXZNngigUfsL_GJYoA,5.0,0,0,0,"What a great burrito!  The staff were very professional, they took great pride in the preperation of the food, and the restaurant was very clean. We will be back again very soon for more burritos.",2014-12-17 22:21:30
9,U2PVQTz45c_tXDoQsvc5MA,ROAHKlelcdIMX3oBMQtKcg,udrEp86-LusAEX_od06rog,2.0,0,0,0,"Don't let the new building fool you, the employees inside are rotten as ever. The food was sub-par and the service was ridiculous! It felt like I was in downtown Mexico City, no offense there was no one speaking English except the lady taking my order. The drink machines were out of whatever the hell it is they take to make the drinks, and the napkins were completely out, it took close to 15 minutes for me to get a napkin. When I was finally helped (there was no line) the lady told me I will stick them up. I had to improvise and go to the restroom for a napkin, I barely stepped into the restroom when I turned around and walked out. It smelled absolutely disgusting. Not coming here again, I hope your experience is better, there's a chickfila right across the highway, or a bill millers just on with this frontage road. Check those places out if you'd like some guaranteed good service and experience.",2015-11-18 17:54:51
10,hKiw3X1i2gGOY35sibyd_Q,jtGkUhPu1asSxYa6RHWchg,zUAjpqZUTGl6ledOjbaO2w,1.0,0,0,0,This place is a complete wreck. I wait for 30 minutes to get my 4 for 4. Multiple people who ordered after me got there food first. The manager put my sandwich on the tray and it sat on the tray waiting for my other food for another 20 minutes. So my sandwich was cold. Then my fries were way way way over cooked. When I finally got my food the manager proceeded to SCREAM have a nice day at me because I didn't acknowledge her the first time she said it I just nodded. On top of all that the manger had 3 buttons undone on her shirt in the middle and she didn't have gloves on and she put her hands all over my fries. NOT SANITARY AT ALL!,2018-07-26 17:06:17
11,afYaoTDZ92Y3EymbY4zgCw,gxIhLmf7e0FJhbEiG68fcQ,741SMgw6IZUEuQOCqzcSfg,3.0,1,1,1,"Friendly service and good spot for a quick bite to eat. I tried the Mega Bowl tonight, good flavour overall on all 3 items and price point of just over $10 after tax was okay considering the location. What lost 2 stars for my own tastes were: picture did look fuller; rice was softer than I would have liked in that the morsels were not singular but rather smooshed together; and lastly the tempura batter was lacking texturally - more oily and dense vs. light and crisp. Will have to come back to try their rolls though. I recommend for those wanting to grab a quick bite, but aren't too picky on quality/texture.",2013-09-04 03:40:27
12,vk0oBC3y07gpZXR3MJXSSg,c3KgqxWz2iNdDC45DYMUow,_dx-TZFpEiHBHVuB8m1_gg,2.0,0,0,0,"Skip the guac, unless you don't mind paying 1.95$ for a spritz ..everything else was pleasant.",2015-10-17 01:13:10
13,Q40mYaYgNjTWUASw2JAAhQ,bIRrQOGC_gVvCCCC0i6YJQ,pVJfXUOnJcNchRlnldfSzw,4.0,2,0,0,"My boss prefers the ""street meat"" variety of burrito that permeate the DTX area.  I, however, love the Boloco burritos.  I love that you can get a ""regular"" burrito and it doesn't make you feel like you just ate all of Mexico and you have to go back to the office in a food coma.  The regular is the perfect size for lunch.  They do have a large size as well.  

I love that you can get a burrito with tofu in it.  I love that they are socially and environmentally conscious.  I love that the staff is incredibly friendly and that actually got a personal response when I wrote an email with a complaint (they were testing out paper wrappers.  They were horrible and they have since gone back to the easy to peel foil).  I love the clean and convenient location.

And I love...oh I love...the Jimmy Carter smoothie.  It is like suckin' heaven through a straw.",2009-10-14 17:28:52
14,rC3fV_h8I3628Q_8Nt2iVw,XxRKzCT9EegH2tQ8B6JYGA,tCZoMAPrsdHcNHUhRkeQUg,5.0,0,0,0,"Clean bathrooms, lots of parking available. About 5-6 food options including one inside the connected gas station. I'll use this rest stop in the future when traveling north and coming back home.",2016-11-09 22:32:09
15,dSNmJq8nOTds8CYGfxmdYw,TPs2YCdqbuzo0U6PLYxtnQ,udrEp86-LusAEX_od06rog,1.0,0,0,0,"I've pasted the review I posted to the Facebook page for the franchise and on the Wendy's corporate page.

EDIT - FEB 1, 2018 - It happened again.  I ordered three junior hamburgers (NOT cheeseburgers) and a large fries at the drive-thru.  The order-taker repeated my order for accuracy.  I get up to the window, get my order, and discover the fries are rather overcooked.  I was given replacement fries, but was made to wait until two other customers had received their fries & sandwiches.  The replacement fries were on the edge of being overcooked.  Then, upon arriving back home, I discovered I had received cheeseburgers.  AGAIN.  FOR THE 4TH TIME THIS MONTH.  Each time I ordered hamburgers.  Each time I received cheeseburgers.  How hard is it to tell the difference?  I hope the franchise manager is reading this - I've written a complaint to Wendy's corporate too.

This was just going to be about the fries.  Then, I got home, and saw my burgers.

I ordered four junior hamburgers, ketchup/mustard only on each of them.  I saw my order accurately listed on the display by the drive-thru menu.  I get home to discover I have four cheeseburgers.  For me, that's not good - I've never cared for the cheese @ Wendy's, just a personal preference.  The cheeseburger thing has happened twice now.

The fries - for the 5th visit in a row, the fries were near inedible.  I'm not sure if they're always overcooked, just sitting around too long, or a combination of the two.  It seems I can't get fresh fries unless I visit during the peak of lunch rush.

All of that is a shame - Wendy's is my preferred fast food burger chain, and this is the location closest to my house.  But if my orders keep getting screwed up, why should I come back?",2018-02-01 19:14:02
